   3.00  349.10  346.81  346.39  344.46  343.94  340.09  338.10  336.74  335.51  335.11  335.03  332.63  331.43  330.52  329.94  329.81  329.48  328.49  327.94  326.70  324.65  324.25
   3.00  354.32  350.29  349.36  346.57  345.98  341.61  339.85  338.78  337.68  337.42  337.28  335.31  334.46  333.72  333.29  333.07  332.94  332.20  331.75  330.86  329.39  329.17
   3.00  359.32  354.50  353.48  350.59  349.96  346.51  345.57  344.93  344.36  344.19  344.02  343.12  342.74  342.43  342.16  342.01  342.03  341.68  341.39  341.02  340.33  340.26
   3.00  356.68  353.33  352.71  350.77  350.24  347.51  346.59  346.00  345.32  345.24  345.12  343.96  343.57  343.21  342.87  342.80  342.74  342.36  341.99  341.58  340.80  340.79
   2.00  364.25  358.24  356.97  352.98  352.15  346.25  343.89  342.44  341.01  340.58  340.43  337.95  336.78  335.83  335.25  335.04  334.80  333.87  333.35  332.16  330.23  329.82
   3.00  362.33  357.02  355.98  352.98  352.30  348.22  346.80  345.84  344.92  344.70  344.54  343.01  342.39  341.75  341.42  341.27  341.15  340.62  340.23  339.56  338.41  338.23
   2.00  365.41  361.24  360.31  357.64  356.99  352.80  351.19  350.18  349.12  348.77  348.52  346.80  345.89  345.10  344.73  344.44  344.39  343.62  343.07  342.18  340.58  340.23
   3.00  369.15  364.44  363.60  360.69  359.97  355.28  353.58  352.40  351.15  351.00  350.81  348.59  347.80  347.00  346.26  346.38  346.19  345.34  344.90  343.92  342.17  341.95
   1.00  383.62  377.32  374.79  371.11  370.58  363.90  361.52  358.89  357.55  357.20  357.24  354.69  352.93  352.70  351.51  351.97  351.84  350.69  348.65  347.73  345.14  344.84
   1.00  391.20  386.84  386.23  383.39  382.60  378.41  376.88  375.99  374.86  374.67  374.46  372.65  371.92  371.05  370.53  370.53  370.25  369.57  369.09  368.20  366.71  366.51
   2.00  391.67  387.54  386.73  384.04  383.42  379.29  377.73  376.73  375.64  375.42  375.21  373.42  372.60  371.90  371.41  371.27  371.09  370.36  369.87  369.02  367.51  367.29
   2.00  396.14  390.99  389.94  386.53  385.88  381.04  379.10  377.75  376.69  376.30  376.23  374.24  373.25  372.59  372.05  371.90  371.74  370.93  370.36  369.37  367.83  367.59
   3.00  394.53  390.60  389.84  387.34  386.80  383.04  381.59  380.71  379.70  379.49  379.40  377.58  376.94  376.26  375.81  375.71  375.57  374.90  374.52  373.69  372.36  372.16
   3.00  396.05  391.96  391.19  388.73  388.13  384.52  383.24  382.48  381.56  381.37  381.18  379.66  379.08  378.53  378.09  377.94  377.93  377.30  376.89  376.23  375.08  374.95
   3.00  405.17  399.39  398.28  394.60  393.77  388.20  386.14  384.92  383.55  383.22  382.89  380.50  379.50  378.46  377.89  377.65  377.53  376.54  376.03  374.92  372.99  372.61
   1.00  404.72  401.87  401.30  399.27  398.94  396.10  394.94  394.25  393.59  393.40  393.30  392.30  391.62  391.32  391.01  390.84  390.78  390.30  389.84  389.29  388.37  388.20
   3.00  423.43  417.98  416.88  413.42  412.76  407.66  405.60  404.27  403.01  402.64  402.54  400.16  399.23  398.27  397.82  397.56  397.37  396.46  396.05  394.93  393.18  392.97
   3.00  435.84  432.52  431.68  429.38  429.04  425.51  423.94  422.91  422.08  421.69  421.69  419.90  419.08  418.44  418.12  417.82  417.73  417.03  416.56  415.64  414.26  414.04
